26,492.406,42,124.982
17,371.918,36,126.89
26,602.005,44,121.437
21,335.303,293,116.851
35,655.431,522,121.117
18,382.344,1059,102.171
12,236.463,25,94.4762
32,668.575,598,88.3651
19,378.042,385,81.7177
22,429.562,554,75.7694
18,255.243,563,70.056
18,215.884,506,75.8216
12,254.119,2,84.9221
18,223.878,108,82.7331
26,472.401,121,81.2662
15,306.56,225,78.433
20,313.735,335,75.0702
22,388.103,375,71.6249
47,587.588,493,68.9357
30,432.57,423,83.9357
25,454.182,486,77.7218
22,401.357,313,73.0977
47,594.493,61,70.9713
18,317.712,664,69.8817
24,503.895,318,83.4767
19,257.087,403,78.9457
17,321.635,523,73.3951
12,244.295,33,71.2478
29,454.674,521,68.0559
22,242.352,476,82.6372
40,571.404,636,77.1816
